Problem:    pfsp
Rows:       8021
Columns:    591 (190 integer, 190 binary)
Non-zeros:  23621
Status:     INTEGER NON-OPTIMAL
Objective:  makespan = 2837 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 makespan                 2837                             
     2 rest1[1]                 1014            64               
     3 rest1[2]                   38            38               
     4 rest1[3]                  920            94               
     5 rest1[4]                  824            96               
     6 rest1[5]                  744            80               
     7 rest1[6]                  582            93               
     8 rest1[7]                  736             8               
     9 rest1[8]                  659            77               
    10 rest1[9]                  539            43               
    11 rest1[10]                 496            43               
    12 rest1[11]                 456             8               
    13 rest1[12]                 575             7               
    14 rest1[13]                 615            33               
    15 rest1[14]                 476            20               
    16 rest1[15]                 362            94               
    17 rest1[16]                 318            44               
    18 rest1[17]                 232            86               
    19 rest1[18]                 142            79               
    20 rest1[19]                 187            45               
    21 rest1[20]                  90            52               
    22 rest2[1,2]                483            99               
    23 rest2[1,3]                  8             8               
    24 rest2[1,4]                120            72               
    25 rest2[1,5]                 51            51               
    26 rest2[1,6]                 36            36               
    27 rest2[1,7]                165            17               
    28 rest2[1,8]                 40            40               
    29 rest2[1,9]                 17            17               
    30 rest2[1,10]                34            28               
    31 rest2[1,11]               175            25               
    32 rest2[1,12]                76            25               
    33 rest2[1,13]               181            42               
    34 rest2[1,14]                20            20               
    35 rest2[1,15]               133            39               
    36 rest2[1,16]                22            22               
    37 rest2[1,17]                79            72               
    38 rest2[1,18]                96            96               
    39 rest2[1,19]                 1             1               
    40 rest2[1,20]                86            86               
    41 rest2[2,2]                 52             5               
    42 rest2[2,3]                 16            16               
    43 rest2[2,4]                 88            88               
    44 rest2[2,5]                 14            14               
    45 rest2[2,6]                 60            60               
    46 rest2[2,7]                 62            62               
    47 rest2[2,8]                 27            27               
    48 rest2[2,9]                 54            54               
    49 rest2[2,10]                76            76               
    50 rest2[2,11]                36            36               
    51 rest2[2,12]                58            58               
    52 rest2[2,13]                15            15               
    53 rest2[2,14]                58            58               
    54 rest2[2,15]                70            70               
    55 rest2[2,16]                89            89               
    56 rest2[2,17]               712            66               
    57 rest2[2,18]                89            89               
    58 rest2[2,19]               158            77               
    59 rest2[2,20]                17            17               
    60 rest2[3,2]                124            40               
    61 rest2[3,3]                365            96               
    62 rest2[3,4]                 45            35               
    63 rest2[3,5]                  8             8               
    64 rest2[3,6]                207            43               
    65 rest2[3,7]                 72            32               
    66 rest2[3,8]                 49            49               
    67 rest2[3,9]                116            28               
    68 rest2[3,10]                55             7               
    69 rest2[3,11]                91            91               
    70 rest2[3,12]               154            13               
    71 rest2[3,13]               119            75               
    72 rest2[3,14]                70            18               
    73 rest2[3,15]                44            41               
    74 rest2[3,16]                68            68               
    75 rest2[3,17]                41            41               
    76 rest2[3,18]               127            75               
    77 rest2[3,19]                52            24               
    78 rest2[3,20]                92            18               
    79 rest2[4,2]                201            19               
    80 rest2[4,3]                285            99               
    81 rest2[4,4]                122            22               
    82 rest2[4,5]                  7             7               
    83 rest2[4,6]                156            74               
    84 rest2[4,7]                 73            73               
    85 rest2[4,8]                 54            54               
    86 rest2[4,9]                 92            92               
    87 rest2[4,10]                97            50               
    88 rest2[4,11]               102            39               
    89 rest2[4,12]               138            55               
    90 rest2[4,13]               119            55               
    91 rest2[4,14]               109            16               
    92 rest2[4,15]                 3             3               
    93 rest2[4,16]                28            28               
    94 rest2[4,17]                69            69               
    95 rest2[4,18]                98            98               
    96 rest2[4,19]                85            27               
    97 rest2[4,20]                96            61               
    98 rest2[5,2]                280             1               
    99 rest2[5,3]                262            24               
   100 rest2[5,4]                100            46               
   101 rest2[5,5]                 38            15               
   102 rest2[5,6]                 98            20               
   103 rest2[5,7]                 73            73               
   104 rest2[5,8]                102            23               
   105 rest2[5,9]                 30            30               
   106 rest2[5,10]               147            37               
   107 rest2[5,11]               133             6               
   108 rest2[5,12]                72            72               
   109 rest2[5,13]               108            83               
   110 rest2[5,14]                95            95               
   111 rest2[5,15]                46            46               
   112 rest2[5,16]                41            41               
   113 rest2[5,17]               104             6               
   114 rest2[5,18]                86             3               
   115 rest2[5,19]                93            10               
   116 rest2[5,20]                97             9               
   117 rest2[6,2]                222            41               
   118 rest2[6,3]                133            50               
   119 rest2[6,4]                 69            26               
   120 rest2[6,5]                 90            35               
   121 rest2[6,6]                 76            76               
   122 rest2[6,7]                111            81               
   123 rest2[6,8]                101            32               
   124 rest2[6,9]                 79             7               
   125 rest2[6,10]                68            60               
   126 rest2[6,11]                76            29               
   127 rest2[6,12]               110            98               
   128 rest2[6,13]               231            82               
   129 rest2[6,14]                44             1               
   130 rest2[6,15]                76            46               
   131 rest2[6,16]                93            93               
   132 rest2[6,17]               102            74               
   133 rest2[6,18]                82            34               
   134 rest2[6,19]                92            34               
   135 rest2[6,20]               161            76               
   136 rest2[7,2]                266            22               
   137 rest2[7,3]                217            67               
   138 rest2[7,4]                 25            25               
   139 rest2[7,5]                 90            90               
   140 rest2[7,6]                107            81               
   141 rest2[7,7]                122            26               
   142 rest2[7,8]                 49            22               
   143 rest2[7,9]                106             9               
   144 rest2[7,10]                78            78               
   145 rest2[7,11]               103            23               
   146 rest2[7,12]                90            90               
   147 rest2[7,13]                99            99               
   148 rest2[7,14]               142            39               
   149 rest2[7,15]                42            42               
   150 rest2[7,16]                21            21               
   151 rest2[7,17]                90            90               
   152 rest2[7,18]               135            41               
   153 rest2[7,19]               127             7               
   154 rest2[7,20]                52            52               
   155 rest2[8,2]                244            99               
   156 rest2[8,3]                172            60               
   157 rest2[8,4]                111             2               
   158 rest2[8,5]                 82            66               
   159 rest2[8,6]                102            71               
   160 rest2[8,7]                114            79               
   161 rest2[8,8]                 64            64               
   162 rest2[8,9]                 85            85               
   163 rest2[8,10]                68            19               
   164 rest2[8,11]                99            99               
   165 rest2[8,12]               101            88               
   166 rest2[8,13]               135            52               
   167 rest2[8,14]               162            28               
   168 rest2[8,15]                23            23               
   169 rest2[8,16]                36            36               
   170 rest2[8,17]                83            43               
   171 rest2[8,18]               124            54               
   172 rest2[8,19]               138            43               
   173 rest2[8,20]                76            19               
   174 rest2[9,2]                 83            83               
   175 rest2[9,3]                246            69               
   176 rest2[9,4]                 52             3               
   177 rest2[9,5]                 88            88               
   178 rest2[9,6]                 96             4               
   179 rest2[9,7]                 97            82               
   180 rest2[9,8]                 55            55               
   181 rest2[9,9]                126            50               
   182 rest2[9,10]                55            50               
