Problem:    pfsp
Rows:       18061
Columns:    2071 (1770 integer, 1770 binary)
Non-zeros:  53761
Status:     INTEGER UNDEFINED
Objective:  makespan = 0 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 makespan                    0                             
     2 rest1[1]                    0            74               
     3 rest1[2]                    0            52               
     4 rest1[3]                    0            39               
     5 rest1[4]                    0            23               
     6 rest1[5]                    0            53               
     7 rest1[6]                    0            84               
     8 rest1[7]                    0            47               
     9 rest1[8]                    0            95               
    10 rest1[9]                    0            83               
    11 rest1[10]                   0            18               
    12 rest1[11]                   0            12               
    13 rest1[12]                   0            70               
    14 rest1[13]                   0            92               
    15 rest1[14]                   0            87               
    16 rest1[15]                   0            57               
    17 rest1[16]                   0            62               
    18 rest1[17]                   0            71               
    19 rest1[18]                   0            26               
    20 rest1[19]                   0            61               
    21 rest1[20]                   0             9               
    22 rest1[21]                   0            71               
    23 rest1[22]                   0            21               
    24 rest1[23]                   0            42               
    25 rest1[24]                   0            87               
    26 rest1[25]                   0            68               
    27 rest1[26]                   0            52               
    28 rest1[27]                   0            74               
    29 rest1[28]                   0            78               
    30 rest1[29]                   0            79               
    31 rest1[30]                   0            37               
    32 rest1[31]                   0            14               
    33 rest1[32]                   0            71               
    34 rest1[33]                   0            39               
    35 rest1[34]                   0            70               
    36 rest1[35]                   0            66               
    37 rest1[36]                   0            78               
    38 rest1[37]                   0            70               
    39 rest1[38]                   0            72               
    40 rest1[39]                   0            42               
    41 rest1[40]                   0             1               
    42 rest1[41]                   0            29               
    43 rest1[42]                   0            68               
    44 rest1[43]                   0            74               
    45 rest1[44]                   0            59               
    46 rest1[45]                   0            73               
    47 rest1[46]                   0            45               
    48 rest1[47]                   0            90               
    49 rest1[48]                   0            92               
    50 rest1[49]                   0             5               
    51 rest1[50]                   0            84               
    52 rest1[51]                   0            78               
    53 rest1[52]                   0            72               
    54 rest1[53]                   0            93               
    55 rest1[54]                   0            59               
    56 rest1[55]                   0            72               
    57 rest1[56]                   0            98               
    58 rest1[57]                   0            61               
    59 rest1[58]                   0            37               
    60 rest1[59]                   0            52               
    61 rest1[60]                   0            74               
    62 rest2[1,2]                  0            48               
    63 rest2[1,3]                  0            99               
    64 rest2[1,4]                  0            18               
    65 rest2[1,5]                  0            73               
    66 rest2[2,2]                  0            61               
    67 rest2[2,3]                  0            20               
    68 rest2[2,4]                  0            71               
    69 rest2[2,5]                  0            42               
    70 rest2[3,2]                  0            16               
    71 rest2[3,3]                  0            28               
    72 rest2[3,4]                  0            50               
    73 rest2[3,5]                  0            41               
    74 rest2[4,2]                  0            11               
    75 rest2[4,3]                  0            11               
    76 rest2[4,4]                  0             3               
    77 rest2[4,5]                  0            21               
    78 rest2[5,2]                  0            75               
    79 rest2[5,3]                  0            55               
    80 rest2[5,4]                  0            30               
    81 rest2[5,5]                  0             8               
    82 rest2[6,2]                  0            98               
    83 rest2[6,3]                  0            83               
    84 rest2[6,4]                  0            19               
    85 rest2[6,5]                  0            64               
    86 rest2[7,2]                  0            83               
    87 rest2[7,3]                  0            72               
    88 rest2[7,4]                  0            92               
    89 rest2[7,5]                  0            88               
    90 rest2[8,2]                  0             8               
    91 rest2[8,3]                  0            63               
    92 rest2[8,4]                  0            70               
    93 rest2[8,5]                  0            37               
    94 rest2[9,2]                  0            48               
    95 rest2[9,3]                  0            16               
    96 rest2[9,4]                  0            35               
    97 rest2[9,5]                  0            39               
    98 rest2[10,2]                 0            24               
    99 rest2[10,3]                 0            82               
   100 rest2[10,4]                 0             1               
   101 rest2[10,5]                 0            91               
   102 rest2[11,2]                 0            14               
   103 rest2[11,3]                 0            13               
   104 rest2[11,4]                 0            16               
   105 rest2[11,5]                 0            87               
   106 rest2[12,2]                 0             2               
   107 rest2[12,3]                 0            90               
   108 rest2[12,4]                 0            91               
   109 rest2[12,5]                 0            36               
   110 rest2[13,2]                 0            93               
   111 rest2[13,3]                 0            21               
   112 rest2[13,4]                 0            51               
   113 rest2[13,5]                 0            53               
   114 rest2[14,2]                 0            26               
   115 rest2[14,3]                 0            58               
   116 rest2[14,4]                 0            16               
   117 rest2[14,5]                 0            86               
   118 rest2[15,2]                 0            12               
   119 rest2[15,3]                 0            15               
   120 rest2[15,4]                 0            22               
   121 rest2[15,5]                 0            91               
   122 rest2[16,2]                 0            38               
   123 rest2[16,3]                 0            50               
   124 rest2[16,4]                 0            68               
   125 rest2[16,5]                 0            21               
   126 rest2[17,2]                 0            84               
   127 rest2[17,3]                 0            10               
   128 rest2[17,4]                 0            24               
   129 rest2[17,5]                 0             4               
   130 rest2[18,2]                 0            19               
   131 rest2[18,3]                 0            85               
   132 rest2[18,4]                 0            97               
   133 rest2[18,5]                 0            49               
   134 rest2[19,2]                 0            97               
   135 rest2[19,3]                 0            56               
   136 rest2[19,4]                 0            67               
   137 rest2[19,5]                 0            93               
   138 rest2[20,2]                 0            52               
   139 rest2[20,3]                 0            52               
   140 rest2[20,4]                 0            81               
   141 rest2[20,5]                 0             4               
   142 rest2[21,2]                 0            25               
   143 rest2[21,3]                 0            17               
   144 rest2[21,4]                 0            54               
   145 rest2[21,5]                 0             9               
   146 rest2[22,2]                 0            45               
   147 rest2[22,3]                 0            21               
   148 rest2[22,4]                 0            24               
   149 rest2[22,5]                 0            84               
   150 rest2[23,2]                 0            20               
   151 rest2[23,3]                 0            13               
   152 rest2[23,4]                 0            74               
   153 rest2[23,5]                 0            18               
   154 rest2[24,2]                 0            90               
   155 rest2[24,3]                 0            61               
   156 rest2[24,4]                 0            27               
   157 rest2[24,5]                 0            13               
   158 rest2[25,2]                 0            65               
   159 rest2[25,3]                 0             7               
   160 rest2[25,4]                 0             6               
   161 rest2[25,5]                 0            76               
   162 rest2[26,2]                 0            93               
   163 rest2[26,3]                 0            36               
   164 rest2[26,4]                 0            63               
   165 rest2[26,5]                 0            89               
   166 rest2[27,2]                 0            54               
   167 rest2[27,3]                 0            78               
   168 rest2[27,4]                 0            43               
   169 rest2[27,5]                 0            65               
   170 rest2[28,2]                 0            19               
   171 rest2[28,3]                 0            42               
   172 rest2[28,4]                 0            47               
   173 rest2[28,5]                 0            10               
   174 rest2[29,2]                 0            70               
   175 rest2[29,3]                 0            83               
   176 rest2[29,4]                 0            11               
   177 rest2[29,5]                 0            72               
   178 rest2[30,2]                 0             1               
   179 rest2[30,3]                 0            66               
   180 rest2[30,4]                 0            69               
   181 rest2[30,5]                 0            47               
   182 rest2[31,2]                 0            89               
   183 rest2[31,3]                 0            96               
   184 rest2[31,4]                 0            79               
   185 rest2[31,5]                 0            23               
   186 rest2[32,2]                 0             1               
   187 rest2[32,3]                 0            33               
   188 rest2[32,4]                 0            20               
   189 rest2[32,5]                 0            65               
   190 rest2[33,2]                 0            96               
   191 rest2[33,3]                 0            64               
   192 rest2[33,4]                 0            61               
   193 rest2[33,5]                 0            77               
   194 rest2[34,2]                 0            36               
   195 rest2[34,3]                 0            97               
   196 rest2[34,4]                 0             3               
   197 rest2[34,5]                 0            22               
   198 rest2[35,2]                 0             4               
   199 rest2[35,3]                 0            71               
   200 rest2[35,4]                 0            72               
   201 rest2[35,5]                 0             3               
   202 rest2[36,2]                 0            56               
   203 rest2[36,3]                 0            38               
   204 rest2[36,4]                 0            67               
   205 rest2[36,5]                 0            48               
   206 rest2[37,2]                 0            68               
   207 rest2[37,3]                 0            98               
   208 rest2[37,4]                 0            58               
   209 rest2[37,5]                 0            69               
   210 rest2[38,2]                 0             1               
   211 rest2[38,3]                 0            84               
   212 rest2[38,4]                 0            61               
   213 rest2[38,5]                 0             4               
   214 rest2[39,2]                 0            82               
   215 rest2[39,3]                 0            86               
   216 rest2[39,4]                 0            58               
   217 rest2[39,5]                 0            62               
   218 rest2[40,2]                 0            38               
   219 rest2[40,3]                 0             1               
   220 rest2[40,4]                 0            85               
   221 rest2[40,5]                 0            29               
   222 rest2[41,2]                 0            36               
   223 rest2[41,3]                 0            64               
   224 rest2[41,4]                 0            55               
   225 rest2[41,5]                 0            46               
   226 rest2[42,2]                 0            79               
   227 rest2[42,3]                 0            56               
   228 rest2[42,4]                 0            27               
   229 rest2[42,5]                 0            30               
   230 rest2[43,2]                 0            49               
   231 rest2[43,3]                 0            57               
   232 rest2[43,4]                 0            75               
   233 rest2[43,5]                 0            23               
   234 rest2[44,2]                 0            83               
   235 rest2[44,3]                 0            63               
   236 rest2[44,4]                 0            26               
   237 rest2[44,5]                 0            10               
   238 rest2[45,2]                 0            76               
   239 rest2[45,3]                 0             1               
   240 rest2[45,4]                 0            22               
   241 rest2[45,5]                 0            75               
   242 rest2[46,2]                 0            20               
   243 rest2[46,3]                 0            76               
   244 rest2[46,4]                 0            64               
   245 rest2[46,5]                 0            91               
   246 rest2[47,2]                 0            88               
   247 rest2[47,3]                 0            73               
   248 rest2[47,4]                 0            97               
   249 rest2[47,5]                 0             2               
   250 rest2[48,2]                 0            35               
   251 rest2[48,3]                 0            51               
   252 rest2[48,4]                 0            62               
   253 rest2[48,5]                 0            33               
   254 rest2[49,2]                 0            55               
   255 rest2[49,3]                 0            22               
   256 rest2[49,4]                 0            10               
   257 rest2[49,5]                 0            24               
   258 rest2[50,2]                 0            48               
   259 rest2[50,3]                 0            36               
   260 rest2[50,4]                 0            44               
   261 rest2[50,5]                 0            12               
   262 rest2[51,2]                 0            89               
   263 rest2[51,3]                 0            34               
   264 rest2[51,4]                 0            74               
   265 rest2[51,5]                 0             4               
   266 rest2[52,2]                 0            29               
   267 rest2[52,3]                 0            21               
   268 rest2[52,4]                 0            35               
   269 rest2[52,5]                 0            18               
   270 rest2[53,2]                 0            65               
   271 rest2[53,3]                 0            47               
   272 rest2[53,4]                 0            96               
   273 rest2[53,5]                 0            18               
   274 rest2[54,2]                 0            30               
   275 rest2[54,3]                 0            22               
   276 rest2[54,4]                 0            52               
   277 rest2[54,5]                 0            27               
   278 rest2[55,2]                 0            45               
   279 rest2[55,3]                 0            70               
   280 rest2[55,4]                 0            47               
   281 rest2[55,5]                 0            57               
   282 rest2[56,2]                 0            99               
   283 rest2[56,3]                 0            72               
   284 rest2[56,4]                 0            55               
   285 rest2[56,5]                 0            34               
   286 rest2[57,2]                 0            15               
   287 rest2[57,3]                 0            35               
   288 rest2[57,4]                 0            42               
   289 rest2[57,5]                 0            23               
   290 rest2[58,2]                 0            34               
   291 rest2[58,3]                 0            72               
   292 rest2[58,4]                 0            30               
   293 rest2[58,5]                 0            36               
   294 rest2[59,2]                 0            81               
   295 rest2[59,3]                 0            96               
   296 rest2[59,4]                 0             8               
   297 rest2[59,5]                 0            71               
   298 rest2[60,2]                 0            54               
   299 rest2[60,3]                 0            15               
   300 rest2[60,4]                 0            97               
   301 rest2[60,5]                 0            25               
   302 rest3[2,1,1]                0            52               
   303 rest3[2,1,2]                0            61               
   304 rest3[2,1,3]                0            20               
   305 rest3[2,1,4]                0            71               
   306 rest3[2,1,5]                0            42               
   307 rest3[3,1,1]                0            39               
   308 rest3[3,1,2]                0            16               
   309 rest3[3,1,3]                0            28               
   310 rest3[3,1,4]                0            50               
   311 rest3[3,1,5]                0            41               
   312 rest3[3,2,1]                0            39               
   313 rest3[3,2,2]                0            16               
   314 rest3[3,2,3]                0            28               
   315 rest3[3,2,4]                0            50               
   316 rest3[3,2,5]                0            41               
   317 rest3[4,1,1]                0            23               
   318 rest3[4,1,2]                0            11               
   319 rest3[4,1,3]                0            11               
   320 rest3[4,1,4]                0             3               
   321 rest3[4,1,5]                0            21               
   322 rest3[4,2,1]                0            23               
   323 rest3[4,2,2]                0            11               
   324 rest3[4,2,3]                0            11               
   325 rest3[4,2,4]                0             3               
   326 rest3[4,2,5]                0            21               
   327 rest3[4,3,1]                0            23               
   328 rest3[4,3,2]                0            11               
   329 rest3[4,3,3]                0            11               
   330 rest3[4,3,4]                0             3               
   331 rest3[4,3,5]                0            21               
   332 rest3[5,1,1]                0            53               
   333 rest3[5,1,2]                0            75               
   334 rest3[5,1,3]                0            55               
   335 rest3[5,1,4]                0            30               
   336 rest3[5,1,5]                0             8               
   337 rest3[5,2,1]                0            53               
   338 rest3[5,2,2]                0            75               
   339 rest3[5,2,3]                0            55               
   340 rest3[5,2,4]                0            30               
   341 rest3[5,2,5]                0             8               
   342 rest3[5,3,1]                0            53               
   343 rest3[5,3,2]                0            75               
   344 rest3[5,3,3]                0            55               
   345 rest3[5,3,4]                0            30               
   346 rest3[5,3,5]                0             8               
   347 rest3[5,4,1]                0            53               
   348 rest3[5,4,2]                0            75               
   349 rest3[5,4,3]                0            55               
   350 rest3[5,4,4]                0            30               
   351 rest3[5,4,5]                0             8               
   352 rest3[6,1,1]                0            84               
   353 rest3[6,1,2]                0            98               
   354 rest3[6,1,3]                0            83               
   355 rest3[6,1,4]                0            19               
   356 rest3[6,1,5]                0            64               
   357 rest3[6,2,1]                0            84               
   358 rest3[6,2,2]                0            98               
   359 rest3[6,2,3]                0            83               
   360 rest3[6,2,4]                0            19               
   361 rest3[6,2,5]                0            64               
   362 rest3[6,3,1]                0            84               
   363 rest3[6,3,2]                0            98               
   364 rest3[6,3,3]                0            83               
   365 rest3[6,3,4]                0            19               
   366 rest3[6,3,5]                0            64               
   367 rest3[6,4,1]                0            84               
   368 rest3[6,4,2]                0            98               
   369 rest3[6,4,3]                0            83               
   370 rest3[6,4,4]                0            19               
   371 rest3[6,4,5]                0            64               
   372 rest3[6,5,1]                0            84               
   373 rest3[6,5,2]                0            98               
   374 rest3[6,5,3]                0            83               
   375 rest3[6,5,4]                0            19               
   376 rest3[6,5,5]                0            64               
   377 rest3[7,1,1]                0            47               
   378 rest3[7,1,2]                0            83               
   379 rest3[7,1,3]                0            72               
   380 rest3[7,1,4]                0            92               
   381 rest3[7,1,5]                0            88               
   382 rest3[7,2,1]                0            47               
   383 rest3[7,2,2]                0            83               
   384 rest3[7,2,3]                0            72               
   385 rest3[7,2,4]                0            92               
   386 rest3[7,2,5]                0            88               
   387 rest3[7,3,1]                0            47               
   388 rest3[7,3,2]                0            83               
   389 rest3[7,3,3]                0            72               
   390 rest3[7,3,4]                0            92               
   391 rest3[7,3,5]                0            88               
   392 rest3[7,4,1]                0            47               
   393 rest3[7,4,2]                0            83               
   394 rest3[7,4,3]                0            72               
   395 rest3[7,4,4]                0            92               
   396 rest3[7,4,5]                0            88               
   397 rest3[7,5,1]                0            47               
   398 rest3[7,5,2]                0            83               
   399 rest3[7,5,3]                0            72               
   400 rest3[7,5,4]                0            92               
   401 rest3[7,5,5]                0            88               
   402 rest3[7,6,1]                0            47               
   403 rest3[7,6,2]                0            83               
   404 rest3[7,6,3]                0            72               
   405 rest3[7,6,4]                0            92               
   406 rest3[7,6,5]                0            88               
   407 rest3[8,1,1]                0            95               
   408 rest3[8,1,2]                0             8               
   409 rest3[8,1,3]                0            63               
   410 rest3[8,1,4]                0            70               
   411 rest3[8,1,5]                0            37               
   412 rest3[8,2,1]                0            95               
   413 rest3[8,2,2]                0             8               
   414 rest3[8,2,3]                0            63               
   415 rest3[8,2,4]                0            70               
   416 rest3[8,2,5]                0            37               
   417 rest3[8,3,1]                0            95               
   418 rest3[8,3,2]                0             8               
   419 rest3[8,3,3]                0            63               
   420 rest3[8,3,4]                0            70               
   421 rest3[8,3,5]                0            37               
   422 rest3[8,4,1]                0            95               
   423 rest3[8,4,2]                0             8               
   424 rest3[8,4,3]                0            63               
   425 rest3[8,4,4]                0            70               
   426 rest3[8,4,5]                0            37               
   427 rest3[8,5,1]                0            95               
   428 rest3[8,5,2]                0             8               
   429 rest3[8,5,3]                0            63               
   430 rest3[8,5,4]                0            70               
   431 rest3[8,5,5]                0            37               
   432 rest3[8,6,1]                0            95               
   433 rest3[8,6,2]                0             8               
   434 rest3[8,6,3]                0            63               
   435 rest3[8,6,4]                0            70               
   436 rest3[8,6,5]                0            37               
   437 rest3[8,7,1]                0            95               
   438 rest3[8,7,2]                0             8               
   439 rest3[8,7,3]                0            63               
   440 rest3[8,7,4]                0            70               
   441 rest3[8,7,5]                0            37               
   442 rest3[9,1,1]                0            83               
   443 rest3[9,1,2]                0            48               
   444 rest3[9,1,3]                0            16               
   445 rest3[9,1,4]                0            35               
   446 rest3[9,1,5]                0            39               
   447 rest3[9,2,1]                0            83               
   448 rest3[9,2,2]                0            48               
   449 rest3[9,2,3]                0            16               
   450 rest3[9,2,4]                0            35               
   451 rest3[9,2,5]                0            39               
   452 rest3[9,3,1]                0            83               
   453 rest3[9,3,2]                0            48               
   454 rest3[9,3,3]                0            16               
   455 rest3[9,3,4]                0            35               
